rel,e1,e2
"Cause-Effect(e1,e2)",disability,benefits
"Cause-Effect(e1,e2)",pollutant,rain
"Cause-Effect(e1,e2)",device,termination
"Cause-Effect(e1,e2)",Yoga,flexibility
"Cause-Effect(e1,e2)",advertisements,murders
"Cause-Effect(e1,e2)",pills,headaches
"Cause-Effect(e1,e2)",sinking,loss
"Cause-Effect(e1,e2)",presentation,debate
"Cause-Effect(e1,e2)",germ,ulcer
"Cause-Effect(e1,e2)",stress,acne
"Cause-Effect(e1,e2)",insoles,spot
"Cause-Effect(e1,e2)",joy,laughter
"Cause-Effect(e1,e2)",proposal,opposition
"Cause-Effect(e1,e2)",measles,rashes
"Cause-Effect(e1,e2)",flows,erosion
"Cause-Effect(e1,e2)",Cities,emissions
"Cause-Effect(e1,e2)",wire,injury
"Cause-Effect(e1,e2)",depression,suicide
"Cause-Effect(e1,e2)",Estrogen dominance,osteoporosis
"Cause-Effect(e1,e2)",stress,corrosion
"Cause-Effect(e1,e2)",meltdown,reaction
"Cause-Effect(e1,e2)",trouble,maker
"Cause-Effect(e1,e2)",nicotine,increase
"Cause-Effect(e1,e2)",Interpolation,distortion
"Cause-Effect(e1,e2)",tension,headaches
"Cause-Effect(e1,e2)",waste,fumes
"Cause-Effect(e1,e2)",Infection,death
"Cause-Effect(e1,e2)",scandal,resignation
"Cause-Effect(e1,e2)",tests,information
"Cause-Effect(e1,e2)",crash,seismic event
"Cause-Effect(e1,e2)",disorder,impairment
"Cause-Effect(e1,e2)",burrows,rashes
"Cause-Effect(e1,e2)",crash,gash
"Cause-Effect(e1,e2)",earthquake,failures
"Cause-Effect(e1,e2)",germs,sickness
"Cause-Effect(e1,e2)",vaccine,temperature elevation
"Cause-Effect(e1,e2)",malfunction,delays
"Cause-Effect(e1,e2)",fog,moisture
"Cause-Effect(e1,e2)",earthquake,avalanche
"Cause-Effect(e1,e2)",snow,spill
"Cause-Effect(e1,e2)",setbacks,unemployment
"Cause-Effect(e1,e2)",chemicals,anxiety
"Cause-Effect(e1,e2)",flight,crisis
"Cause-Effect(e1,e2)",shortage,anemia
"Cause-Effect(e1,e2)",fungi,mortality
"Cause-Effect(e1,e2)",stress,breakouts
"Cause-Effect(e1,e2)",pyrotechnics,fire
"Cause-Effect(e1,e2)",construction,refinement
"Cause-Effect(e1,e2)",marketing spending,revenue
"Cause-Effect(e1,e2)",developer,adventure
"Cause-Effect(e1,e2)",infections,rash
"Cause-Effect(e1,e2)",preservatives,itchiness
"Cause-Effect(e1,e2)",Corruption,crisis
"Cause-Effect(e1,e2)",colorants,rashes
"Cause-Effect(e1,e2)",Frustrations,stress
"Cause-Effect(e1,e2)",product,radiation
"Cause-Effect(e1,e2)",cholesterol,disease
"Cause-Effect(e1,e2)",cathode,electrons
"Cause-Effect(e1,e2)",germs,diarrhea
"Cause-Effect(e1,e2)",incident,sensation
"Cause-Effect(e1,e2)",microphone,signal
"Cause-Effect(e1,e2)",bacteria,breakouts
"Cause-Effect(e1,e2)",drinks,diabetes
"Cause-Effect(e1,e2)",particles,scratches
"Cause-Effect(e1,e2)",buss,signal
"Cause-Effect(e1,e2)",neuroma,pain
"Cause-Effect(e1,e2)",ionization,avalanche
"Cause-Effect(e1,e2)",Sodium,retention
"Cause-Effect(e1,e2)",generator,energy
"Cause-Effect(e1,e2)",bacteria,acne
"Cause-Effect(e1,e2)",germs,illnesses
"Cause-Effect(e1,e2)",whistle,tone
"Cause-Effect(e1,e2)",malfunction,rush
"Cause-Effect(e1,e2)",Alcohol,child abuse
"Cause-Effect(e1,e2)",malfunction,launch
"Cause-Effect(e1,e2)",vibrations,motion
"Cause-Effect(e1,e2)",visit,frenzy
"Cause-Effect(e1,e2)",lack,reliance
"Cause-Effect(e1,e2)",software,drain
"Cause-Effect(e1,e2)",outbreak,injuries
"Cause-Effect(e1,e2)",gas,pyrolysis
"Cause-Effect(e1,e2)",incidents,distress
"Cause-Effect(e1,e2)",biography,credentials
"Cause-Effect(e1,e2)",operation,arrest
"Cause-Effect(e1,e2)",Lesions,leg weakness
"Cause-Effect(e1,e2)",demolition,terror
"Cause-Effect(e1,e2)",Preeclampsia,mortality
"Cause-Effect(e1,e2)",Sinusitis,anxiety
"Cause-Effect(e1,e2)",weathering,cementation
"Cause-Effect(e1,e2)",germs,sore throat
"Cause-Effect(e1,e2)",prices,collapse
"Cause-Effect(e1,e2)",injuries,unconsciousness
"Cause-Effect(e1,e2)",crashes,collapse
"Cause-Effect(e1,e2)",Fog,irritation
"Cause-Effect(e1,e2)",Zinc,growth
"Cause-Effect(e1,e2)",Pinworm,infestation
"Cause-Effect(e1,e2)",burnt food,alarm
"Cause-Effect(e1,e2)",praise,concern
"Cause-Effect(e1,e2)",activity,earthquake
"Cause-Effect(e1,e2)",malfunctions,delays
"Cause-Effect(e1,e2)",antibiotics,growth
"Cause-Effect(e1,e2)",ball,noise
"Cause-Effect(e1,e2)",drugs,nausea
"Cause-Effect(e1,e2)",quenches,vortex-densities
"Cause-Effect(e1,e2)",fuel leak,delay
"Cause-Effect(e1,e2)",women,accident
"Cause-Effect(e1,e2)",drinking,accident
"Cause-Effect(e1,e2)",destruction,collapse
"Cause-Effect(e1,e2)",patriots,confidence
"Cause-Effect(e1,e2)",bacteria,diarrhea
"Cause-Effect(e1,e2)",transmitter,signal
"Cause-Effect(e1,e2)",component,background
"Cause-Effect(e1,e2)",Sadness,inspiration
"Cause-Effect(e1,e2)",Anger,aggressions
"Cause-Effect(e1,e2)",protests,revolution
"Cause-Effect(e1,e2)",energy,separation field
"Cause-Effect(e1,e2)",infection,irritation
"Cause-Effect(e1,e2)",heat,discoloration
"Cause-Effect(e1,e2)",fighting,deaths
"Cause-Effect(e1,e2)",disease,blindness
"Cause-Effect(e1,e2)",Job dissatisfaction,stress
"Cause-Effect(e1,e2)",Signs,stir
"Cause-Effect(e1,e2)",filament,light
"Cause-Effect(e1,e2)",stress,divorce
"Cause-Effect(e1,e2)",cocaine,mortality
"Cause-Effect(e1,e2)",dog,crash
"Cause-Effect(e1,e2)",eruption,flows
"Cause-Effect(e1,e2)",germs,flu
"Cause-Effect(e1,e2)",insecurity,violence
"Cause-Effect(e1,e2)",water,tides
"Cause-Effect(e1,e2)",Fats,disease
"Cause-Effect(e1,e2)",chemicals,roughness
"Cause-Effect(e1,e2)",jar,hematoma
"Cause-Effect(e1,e2)",war,conquests
"Cause-Effect(e1,e2)",scandal,impeachment
"Cause-Effect(e1,e2)",supercell,tornado track
"Cause-Effect(e1,e2)",compromises,war
"Cause-Effect(e1,e2)",bombing,deaths
"Cause-Effect(e1,e2)",high temperature,decomposition reaction
"Cause-Effect(e1,e2)",dermatitis,itchiness
"Cause-Effect(e1,e2)",conjunctivitis,pinkeye
"Cause-Effect(e1,e2)",Speeding,accidents
"Cause-Effect(e1,e2)",advertisement,impression
"Cause-Effect(e1,e2)",crowd,optimism
"Cause-Effect(e1,e2)",heroin,withdrawal
"Cause-Effect(e1,e2)",transmitter,wave
"Cause-Effect(e1,e2)",damage,growth
"Cause-Effect(e1,e2)",typhoon,destruction
"Cause-Effect(e1,e2)",charge,field
"Cause-Effect(e1,e2)",dermatitis,dandruff
"Cause-Effect(e1,e2)",unemployment,alcoholism
"Cause-Effect(e1,e2)",anesthetic,insensibility
"Cause-Effect(e1,e2)",tumor,death
"Cause-Effect(e1,e2)",bombing,carnage
"Cause-Effect(e1,e2)",species,noise
"Cause-Effect(e1,e2)",unity,power
"Cause-Effect(e1,e2)",protest,jams
"Cause-Effect(e1,e2)",dispute,wars
"Cause-Effect(e1,e2)",drugs,death
"Cause-Effect(e1,e2)",Glaucoma,blindness
"Cause-Effect(e1,e2)",sun,light
"Cause-Effect(e1,e2)",bacteria,breakouts
"Cause-Effect(e1,e2)",dryness,coughing
"Cause-Effect(e1,e2)",vocals,female
"Cause-Effect(e1,e2)",Smoke,kidney failures
"Cause-Effect(e1,e2)",shockwaves,conditions
"Cause-Effect(e1,e2)",flu,inflammation
"Cause-Effect(e1,e2)",clock,chime
"Cause-Effect(e1,e2)",Lymphedema,swelling
"Cause-Effect(e1,e2)",pollution,smog
"Cause-Effect(e1,e2)",Conflict,collapse
"Cause-Effect(e1,e2)",Fog,disorientation
"Cause-Effect(e1,e2)",germs,influenza
"Cause-Effect(e1,e2)",disturbances,acne
"Cause-Effect(e1,e2)",noises,dogs
"Cause-Effect(e1,e2)",Scleroderma,hardening
"Cause-Effect(e1,e2)",complaint,lead
"Cause-Effect(e1,e2)",scintillator material,visible light
"Cause-Effect(e1,e2)",lavas,eruption
"Cause-Effect(e1,e2)",increase,strain
"Cause-Effect(e1,e2)",candle,light
"Cause-Effect(e1,e2)",breeding,concealing
"Cause-Effect(e1,e2)",storm,damage
"Cause-Effect(e1,e2)",Germs,disease
"Cause-Effect(e1,e2)",death,relocation
"Cause-Effect(e1,e2)",media,mistake
"Cause-Effect(e1,e2)",mistake,quarrel
"Cause-Effect(e1,e2)",pollution,disease
"Cause-Effect(e1,e2)",motion,suction
"Cause-Effect(e1,e2)",disorders,vomiting
"Cause-Effect(e1,e2)",accident,snarl
"Cause-Effect(e1,e2)",Suicide,death
"Cause-Effect(e1,e2)",singer,commotion
"Cause-Effect(e1,e2)",winds,cancellations
"Cause-Effect(e1,e2)",community,personality
"Cause-Effect(e1,e2)",masts,nausea
"Cause-Effect(e1,e2)",steam,alarm
"Cause-Effect(e1,e2)",spending,strain
"Cause-Effect(e1,e2)",tones,mood
"Cause-Effect(e1,e2)",drug,death
"Cause-Effect(e1,e2)",wheels,grinding noise
"Cause-Effect(e1,e2)",programmer,mistake
"Cause-Effect(e2,e1)",toothache,jaw problem
"Cause-Effect(e2,e1)",grief,death
"Cause-Effect(e2,e1)",disease,refugees
"Cause-Effect(e2,e1)",dryer,air
"Cause-Effect(e2,e1)",cysts,inflammation
"Cause-Effect(e2,e1)",wounds,thorns
"Cause-Effect(e2,e1)",hardship,recession
"Cause-Effect(e2,e1)",release,presence
"Cause-Effect(e2,e1)",harm,system
"Cause-Effect(e2,e1)",disruption,substance
"Cause-Effect(e2,e1)",emission,dwarf
"Cause-Effect(e2,e1)",disruption,work
"Cause-Effect(e2,e1)",inspiration,event
"Cause-Effect(e2,e1)",landslide,rainfall
"Cause-Effect(e2,e1)",fevers,colds
"Cause-Effect(e2,e1)",rage,reading
"Cause-Effect(e2,e1)",flooding,rainfall
"Cause-Effect(e2,e1)",appetite,smell
"Cause-Effect(e2,e1)",earthquake,rupture
"Cause-Effect(e2,e1)",satisfaction,running
"Cause-Effect(e2,e1)",fulfillment,helping
"Cause-Effect(e2,e1)",suffocation,smoke
"Cause-Effect(e2,e1)",damage,seas
"Cause-Effect(e2,e1)",headaches,infections
"Cause-Effect(e2,e1)",abuse,illness
"Cause-Effect(e2,e1)",grief,infertility
"Cause-Effect(e2,e1)",war,desires
"Cause-Effect(e2,e1)",damage,explosion
"Cause-Effect(e2,e1)",tsunami,earthquake
"Cause-Effect(e2,e1)",vortices,legs
"Cause-Effect(e2,e1)",crisis,recession
"Cause-Effect(e2,e1)",birthmarks,expansions
"Cause-Effect(e2,e1)",damage,hurricanes
"Cause-Effect(e2,e1)",infections,candida
"Cause-Effect(e2,e1)",dizziness,dehydration
"Cause-Effect(e2,e1)",headache,eyestrain
"Cause-Effect(e2,e1)",pain,parasite
"Cause-Effect(e2,e1)",perturbations,currents
"Cause-Effect(e2,e1)",reaction,temperature
"Cause-Effect(e2,e1)",disruption,terrorist
"Cause-Effect(e2,e1)",infection,bacteria
"Cause-Effect(e2,e1)",profits,inflation
"Cause-Effect(e2,e1)",inhibition,movement
"Cause-Effect(e2,e1)",nausea,chemotherapy
"Cause-Effect(e2,e1)",convergence,circulation
"Cause-Effect(e2,e1)",revenues,selling
"Cause-Effect(e2,e1)",talent,teaching
"Cause-Effect(e2,e1)",Infection,execution
"Cause-Effect(e2,e1)",burn,spilling
"Cause-Effect(e2,e1)",choking,laughter
"Cause-Effect(e2,e1)",cold,viruses
"Cause-Effect(e2,e1)",conflicts,development
"Cause-Effect(e2,e1)",disasters,change
"Cause-Effect(e2,e1)",devastations,storms
"Cause-Effect(e2,e1)",violence,militia
"Cause-Effect(e2,e1)",screaming,fight
"Cause-Effect(e2,e1)",screaming,victory
"Cause-Effect(e2,e1)",recession,crisis
"Cause-Effect(e2,e1)",success,ability
"Cause-Effect(e2,e1)",case,attack
"Cause-Effect(e2,e1)",wildfires,humans
"Cause-Effect(e2,e1)",infection,virus
"Cause-Effect(e2,e1)",problems,overflows
"Cause-Effect(e2,e1)",illness,virus
"Cause-Effect(e2,e1)",satisfaction,exertion
"Cause-Effect(e2,e1)",quarrel,money
"Cause-Effect(e2,e1)",outbreaks,virus
"Cause-Effect(e2,e1)",Alternators,electricity
"Cause-Effect(e2,e1)",eruptions,tectonic forces
"Cause-Effect(e2,e1)",devastation,asteroid
"Cause-Effect(e2,e1)",Weak ligaments,problems
"Cause-Effect(e2,e1)",Cold sores,virus
"Cause-Effect(e2,e1)",Sinusitis,infection
"Cause-Effect(e2,e1)",electricity,reactors
"Cause-Effect(e2,e1)",death,injection
"Cause-Effect(e2,e1)",heat,boiler
"Cause-Effect(e2,e1)",anger,speech
"Cause-Effect(e2,e1)",Dehydration,loss
"Cause-Effect(e2,e1)",pain,contraction
"Cause-Effect(e2,e1)",invasions,destruction
"Cause-Effect(e2,e1)",fire,collision
"Cause-Effect(e2,e1)",deaths,physician
"Cause-Effect(e2,e1)",fear,bugs
"Cause-Effect(e2,e1)",sound,surface
"Cause-Effect(e2,e1)",tears,pain
"Cause-Effect(e2,e1)",disease,ingestion
"Cause-Effect(e2,e1)",changes,hormone
"Cause-Effect(e2,e1)",warmth,fireplace
"Cause-Effect(e2,e1)",Malaria,parasite
"Cause-Effect(e2,e1)",terror,landmines
"Cause-Effect(e2,e1)",fraud,institutions
"Cause-Effect(e2,e1)",headaches,pain killers
"Cause-Effect(e2,e1)",inflammation,bacteria
"Cause-Effect(e2,e1)",attacks,fear
"Cause-Effect(e2,e1)",bang,collision
"Cause-Effect(e2,e1)",lymphomas,proliferation
"Cause-Effect(e2,e1)",Acne,infections
"Cause-Effect(e2,e1)",accidents,drivers
"Cause-Effect(e2,e1)",fever,vaccines
"Cause-Effect(e2,e1)",meningitis,bacteria
"Cause-Effect(e2,e1)",pain,indigestion
"Cause-Effect(e2,e1)",damage,war
"Cause-Effect(e2,e1)",devastation,education
"Cause-Effect(e2,e1)",rainbow,spray
"Cause-Effect(e2,e1)",discomfort,injury
"Cause-Effect(e2,e1)",death,inhalation
"Cause-Effect(e2,e1)",product,attack
"Cause-Effect(e2,e1)",fire,aftershock
"Cause-Effect(e2,e1)",poverty,administration
"Cause-Effect(e2,e1)",Osteoporosis,decrease
"Cause-Effect(e2,e1)",shrinkage,therapy
"Cause-Effect(e2,e1)",deformation,roundness
"Cause-Effect(e2,e1)",shrinkage,cooling
"Cause-Effect(e2,e1)",calamities,subversion
"Cause-Effect(e2,e1)",panic,claustrophobia
"Cause-Effect(e2,e1)",noise,arrival
"Cause-Effect(e2,e1)",Smoke,fires
"Cause-Effect(e2,e1)",revenues,selling
"Cause-Effect(e2,e1)",activation,footsteps
"Cause-Effect(e2,e1)",tension,stress
"Cause-Effect(e2,e1)",increase,absorption
"Cause-Effect(e2,e1)",pleasure,work
"Cause-Effect(e2,e1)",excitement,riot
"Cause-Effect(e2,e1)",palpitations,heart rhythm
"Cause-Effect(e2,e1)",miscarriages,genetic problems
"Cause-Effect(e2,e1)",collapse,exhaustion
"Cause-Effect(e2,e1)",influx,immigration
"Cause-Effect(e2,e1)",manakin,sounds
"Cause-Effect(e2,e1)",fever,vaccine
"Cause-Effect(e2,e1)",fortune,selling
"Cause-Effect(e2,e1)",collapse,consumers
"Cause-Effect(e2,e1)",coughing,allergies
"Cause-Effect(e2,e1)",crisis,mess
"Cause-Effect(e2,e1)",growth,overfertilizing
"Cause-Effect(e2,e1)",devastation,conflict
"Cause-Effect(e2,e1)",swelling,smoking
"Cause-Effect(e2,e1)",Dizziness,injury
"Cause-Effect(e2,e1)",fever,immunizations
"Cause-Effect(e2,e1)",extinction,overdevelopment
"Cause-Effect(e2,e1)",shrinkage,washing
"Cause-Effect(e2,e1)",harm,driver
"Cause-Effect(e2,e1)",progress,science
"Cause-Effect(e2,e1)",power,dams
"Cause-Effect(e2,e1)",pain,crisis
"Cause-Effect(e2,e1)",signal,laser
"Cause-Effect(e2,e1)",byelection,resignation
"Cause-Effect(e2,e1)",structure,speculation
"Cause-Effect(e2,e1)",symptoms,chemical changes
"Cause-Effect(e2,e1)",boom,asteroid
"Cause-Effect(e2,e1)",evacuation,drill
"Cause-Effect(e2,e1)",damage,spills
"Cause-Effect(e2,e1)",earthquake,nuclear test
"Cause-Effect(e2,e1)",Discussion,contingent
"Cause-Effect(e2,e1)",satisfaction,mentoring
"Cause-Effect(e2,e1)",high humidity,rainfall
"Cause-Effect(e2,e1)",tsunamis,earthquakes
"Cause-Effect(e2,e1)",damage,deregulation
"Cause-Effect(e2,e1)",improvement,measuring
"Cause-Effect(e2,e1)",joy,teaching
"Cause-Effect(e2,e1)",compromise,negotiations
"Cause-Effect(e2,e1)",chaos,hurricanes
"Cause-Effect(e2,e1)",damage,fire
"Cause-Effect(e2,e1)",burns,boiling water
"Cause-Effect(e2,e1)",joy,hitting
"Cause-Effect(e2,e1)",fluctuations,taxes
"Cause-Effect(e2,e1)",damage,tsunami
"Cause-Effect(e2,e1)",Progress,competition
"Cause-Effect(e2,e1)",illness,bacteria
"Cause-Effect(e2,e1)",blockage,fear
"Cause-Effect(e2,e1)",Flashes,tugging
"Cause-Effect(e2,e1)",cow,sound
"Cause-Effect(e2,e1)",fulfillment,teaching
"Cause-Effect(e2,e1)",fire,explosion
"Cause-Effect(e2,e1)",increase,rains
"Cause-Effect(e2,e1)",discomfort,ointment
"Cause-Effect(e2,e1)",Bounding pulses,arterial blood pressure
"Cause-Effect(e2,e1)",riot,clergy
"Cause-Effect(e2,e1)",deficits,package
"Cause-Effect(e2,e1)",behaviour,revellers
"Cause-Effect(e2,e1)",suffering,bleeding
"Cause-Effect(e2,e1)",gaps,resonance
"Cause-Effect(e2,e1)",boost,funding
"Cause-Effect(e2,e1)",buckling,earthquake
"Cause-Effect(e2,e1)",pollution,buring
"Cause-Effect(e2,e1)",headaches,exhaustion
"Cause-Effect(e2,e1)",contortions,interactions
"Cause-Effect(e2,e1)",harm,treatment
"Cause-Effect(e2,e1)",pressure,narrowing
"Cause-Effect(e2,e1)",heat,body
"Cause-Effect(e2,e1)",frustration,defeat
"Cause-Effect(e2,e1)",Acne,clogging
"Cause-Effect(e2,e1)",Acne,hormonal changes
"Cause-Effect(e2,e1)",rebellion,people
"Cause-Effect(e2,e1)",inflammation,growth
"Cause-Effect(e2,e1)",famine,failure
"Cause-Effect(e2,e1)",circumstances,politicisation
"Cause-Effect(e2,e1)",loss,quake
"Cause-Effect(e2,e1)",damage,floods
"Cause-Effect(e2,e1)",injury,collision
"Cause-Effect(e2,e1)",disruption,mobility
"Cause-Effect(e2,e1)",tremors,earthquake
"Cause-Effect(e2,e1)",extinction,climate change
"Cause-Effect(e2,e1)",discolouration,properties
"Cause-Effect(e2,e1)",fire,dryer
"Cause-Effect(e2,e1)",excitement,anticipation
"Cause-Effect(e2,e1)",humiliation,trial
"Cause-Effect(e2,e1)",irritation,soaps
"Cause-Effect(e2,e1)",pain,stroke
"Cause-Effect(e2,e1)",collapse,overdose
"Cause-Effect(e2,e1)",taste,smell
"Cause-Effect(e2,e1)",Rabies,virus
"Cause-Effect(e2,e1)",destruction,expansion
"Cause-Effect(e2,e1)",damage,effects
"Cause-Effect(e2,e1)",deterioration,exposure
"Cause-Effect(e2,e1)",emigration,necessity
"Cause-Effect(e2,e1)",extinction,hunting
"Cause-Effect(e2,e1)",evacuation,accident
"Cause-Effect(e2,e1)",sore throat,intubation
"Cause-Effect(e2,e1)",steam,magma
"Cause-Effect(e2,e1)",tick,action
"Cause-Effect(e2,e1)",injury,intoxication
"Cause-Effect(e2,e1)",deprivation,divorce
"Cause-Effect(e2,e1)",ringworm,fungus
"Cause-Effect(e2,e1)",tsunami,earthquake
"Cause-Effect(e2,e1)",headaches,perfume
"Cause-Effect(e2,e1)",loss,failure
"Cause-Effect(e2,e1)",shoulder problems,breakdown
"Cause-Effect(e2,e1)",mania,influx
"Cause-Effect(e2,e1)",inflammation,virus
"Cause-Effect(e2,e1)",imbalance,tax cuts
"Cause-Effect(e2,e1)",increased pressure,tumor
"Cause-Effect(e2,e1)",pain,disease
"Cause-Effect(e2,e1)",taste,ginseng
"Cause-Effect(e2,e1)",signal,algorithm
"Cause-Effect(e2,e1)",aching,laughter
"Cause-Effect(e2,e1)",outrage,crusaders
"Cause-Effect(e2,e1)",terror,gunfire
"Cause-Effect(e2,e1)",intoxication,drug use
"Cause-Effect(e2,e1)",damage,destruction
"Cause-Effect(e2,e1)",pain,rubbing
